               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11045,            0.015407,            0.077674,           0.0065653,             0.45097,            0.014466,           0.0025154,            0.072611,            0.010655,            0.047885,              0.0964,              0.0004,              0.0004
                   1,            0.098797,            0.020187,            0.073665,           0.0078072,             0.51623,             0.01343,           0.0024262,            0.067298,            0.011814,            0.046629,            0.091898,          0.00089822,          0.00089822
                   2,            0.085027,            0.023649,            0.066692,           0.0085436,             0.68149,            0.023302,           0.0038261,            0.058335,            0.013587,            0.044446,            0.087394,           0.0013945,           0.0013945
                   3,            0.079052,            0.026102,            0.060277,           0.0093163,             0.80065,            0.033901,           0.0066028,             0.05401,            0.014175,            0.042368,            0.082889,           0.0018887,           0.0018887
                   4,             0.07142,            0.025006,            0.056065,            0.008724,                   1,             0.13558,            0.035836,            0.049893,            0.014199,            0.038742,            0.078381,            0.002381,            0.002381
                   5,             0.06818,            0.027266,            0.049494,           0.0076197,                   1,             0.13455,            0.036102,             0.04371,            0.014369,            0.033857,            0.073871,           0.0028713,           0.0028713
                   6,            0.064749,            0.023349,            0.044607,              0.0659,             0.48961,             0.07664,             0.03191,            0.050402,            0.011445,            0.027686,             0.06936,           0.0033596,           0.0033596
                   7,            0.066982,            0.020418,            0.040107,             0.24804,             0.75487,             0.31471,             0.11113,            0.044272,            0.012356,            0.027428,            0.064846,           0.0038459,           0.0038459
                   8,            0.065258,            0.019824,            0.036997,             0.35941,             0.39513,              0.3829,             0.12415,            0.047587,            0.012692,            0.028725,             0.06033,           0.0043303,           0.0043303
                   9,            0.064243,            0.017519,            0.034061,             0.30868,             0.68286,             0.51812,             0.21684,            0.054084,             0.01323,            0.028242,            0.055813,           0.0048127,           0.0048127
                  10,            0.064049,            0.017734,            0.032904,             0.74891,             0.57042,             0.57672,             0.30885,             0.04918,            0.013698,            0.027424,            0.051293,           0.0052931,           0.0052931
